n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,218750,420014,0,0,0,0,1.001e+06
65,1.37479e+06,491535,997700,999975,1.0007e+06,1.99802e+06,2.0087e+06
97,4.65509e+06,601992,3.986e+06,3.99935e+06,4.99855e+06,4.99975e+06,5.9997e+06
129,1.17036e+07,3.03157e+06,7.9984e+06,9.99502e+06,1.09982e+07,1.29996e+07,2.10007e+07
161,2.4426e+07,8.10449e+06,1.80017e+07,2e+07,2.10306e+07,2.4031e+07,5.40088e+07
193,4.24221e+07,7.28402e+06,3.30028e+07,3.77552e+07,3.95054e+07,4.6028e+07,6.20142e+07
225,6.78602e+07,1.51491e+07,5.39977e+07,5.77537e+07,6.20018e+07,7.22593e+07,1.15008e+08
