n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,187509,396578,0,0,0,0,1.0017e+06
65,1.49906e+06,507392,997000,999600,1.4991e+06,1.99842e+06,1.9996e+06
97,4.87188e+06,1.49872e+06,2.9972e+06,3.9982e+06,4.9982e+06,4.99985e+06,1.20007e+07
129,1.21974e+07,3.12083e+06,8.9975e+06,1.00015e+07,1.19858e+07,1.21234e+07,2.49981e+07
161,2.49075e+07,7.27023e+06,1.70022e+07,2.075e+07,2.2552e+07,2.55156e+07,5.49995e+07
193,3.85135e+07,5.31755e+06,3.2e+07,3.47522e+07,3.73722e+07,4.06615e+07,5.30069e+07
225,5.88111e+07,8.10721e+06,5.09853e+07,5.38838e+07,5.62279e+07,6.21268e+07,9.19634e+07
