n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,187659,396895,0,0,0,0,1.0017e+06
65,1.46787e+06,505886,998300,1.00012e+06,1.00145e+06,1.99742e+06,2.0001e+06
97,4.74926e+06,1.1067e+06,3.997e+06,3.99858e+06,4.0045e+06,4.99955e+06,7.998e+06
129,1.16566e+07,4.09333e+06,8.9974e+06,9.99998e+06,1.09988e+07,1.1003e+07,3.2005e+07
161,2.22119e+07,4.07945e+06,1.79969e+07,2.00018e+07,2.15056e+07,2.30026e+07,3.90099e+07
193,3.7345e+07,3.96001e+06,3.10055e+07,3.47561e+07,3.69766e+07,4.02354e+07,4.79923e+07
225,5.97049e+07,1.28588e+07,4.90073e+07,5.30136e+07,5.70027e+07,6.2011e+07,1.21007e+08
