n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,281341,456951,0,0,0,998950,1.0015e+06
65,1.53021e+06,506323,998200,999925,1.9971e+06,1.99828e+06,2.0004e+06
97,4.49979e+06,718657,3.9968e+06,3.99885e+06,4e+06,4.9998e+06,6.0016e+06
129,1.04737e+07,1.34723e+06,8.9825e+06,9.64998e+06,1.00016e+07,1.10028e+07,1.40007e+07
161,2.23434e+07,3.15909e+06,1.80028e+07,2.09914e+07,2.19634e+07,2.30098e+07,3.40049e+07
193,3.80594e+07,7.07957e+06,3.08701e+07,3.37552e+07,3.60117e+07,3.82644e+07,6.03179e+07
225,5.82362e+07,5.46423e+06,5.00088e+07,5.50085e+07,5.70128e+07,6.10175e+07,7.50055e+07
