n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,133.656,54.3511,0,99,100,199,200
33,5.17638e+06,144876,5.03641e+06,5.09328e+06,5.12715e+06,5.20988e+06,5.7281e+06
65,3.59141e+07,1.29949e+06,3.45525e+07,3.49831e+07,3.56996e+07,3.60967e+07,3.96507e+07
97,3.93613e+07,1.32501e+06,3.74795e+07,3.83073e+07,3.95166e+07,3.99208e+07,4.39023e+07
129,2.58563e+08,1.15681e+07,2.47573e+08,2.50136e+08,2.53681e+08,2.63019e+08,2.91085e+08
161,2.75016e+08,5.02224e+06,2.66535e+08,2.71955e+08,2.74705e+08,2.78621e+08,2.85389e+08
193,3.00811e+08,1.38926e+07,2.88871e+08,2.92378e+08,2.98918e+08,3.01178e+08,3.44033e+08
225,2.99183e+08,4.626e+06,2.91865e+08,2.95686e+08,2.98236e+08,3.02862e+08,3.08728e+08
