n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,173.094,56.2152,98,99,198,198,297
33,5.18918e+06,90694.1,5.04672e+06,5.12125e+06,5.20487e+06,5.24254e+06,5.38843e+06
65,3.59711e+07,900880,3.47666e+07,3.54584e+07,3.58562e+07,3.63e+07,3.92117e+07
97,3.95444e+07,688447,3.84951e+07,3.9252e+07,3.93192e+07,3.9588e+07,4.18609e+07
129,2.73522e+08,1.61497e+07,2.46392e+08,2.63466e+08,2.70269e+08,2.8419e+08,3.16255e+08
161,2.73039e+08,3.80441e+06,2.65607e+08,2.70538e+08,2.73306e+08,2.74874e+08,2.79557e+08
193,2.95135e+08,7.16591e+06,2.88636e+08,2.92108e+08,2.94116e+08,2.96e+08,3.31656e+08
225,3.01961e+08,1.00983e+07,2.95347e+08,2.97727e+08,3.00245e+08,3.02538e+08,3.53851e+08
