n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,202.344,39.8591,99,199,199,200,299
33,5.21403e+06,133076,4.99654e+06,5.11438e+06,5.24765e+06,5.27542e+06,5.5642e+06
65,3.62834e+07,976513,3.4827e+07,3.56057e+07,3.60936e+07,3.68254e+07,3.91583e+07
97,4.0372e+07,2.6753e+06,3.82304e+07,3.90058e+07,3.96158e+07,4.05595e+07,5.16317e+07
129,2.66207e+08,6.60856e+06,2.55875e+08,2.62344e+08,2.65728e+08,2.67596e+08,2.92597e+08
161,2.77694e+08,8.31724e+06,2.66557e+08,2.71904e+08,2.75988e+08,2.80068e+08,3.03312e+08
193,2.98658e+08,7.54689e+06,2.91972e+08,2.93728e+08,2.96572e+08,3.01435e+08,3.29739e+08
225,3.07427e+08,8.3551e+06,2.98694e+08,3.00869e+08,3.05792e+08,3.09666e+08,3.28891e+08
