n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,179.375,52.0711,102,103,205,205,308
33,5.6091e+06,915631,5.21796e+06,5.32396e+06,5.40921e+06,5.4608e+06,9.86532e+06
65,3.74322e+07,1.15083e+06,3.61993e+07,3.68536e+07,3.70501e+07,3.78258e+07,4.18731e+07
97,4.07069e+07,1.44303e+06,3.8998e+07,3.97545e+07,4.05447e+07,4.08625e+07,4.61938e+07
129,2.60227e+08,7.23534e+06,2.51638e+08,2.54806e+08,2.59188e+08,2.63504e+08,2.87891e+08
161,2.76813e+08,8.47405e+06,2.66745e+08,2.71903e+08,2.74535e+08,2.77569e+08,3.06375e+08
193,2.9776e+08,4.85094e+06,2.90858e+08,2.94324e+08,2.97005e+08,2.9995e+08,3.10754e+08
225,3.08363e+08,6.92207e+06,2.944e+08,3.04334e+08,3.08063e+08,3.12329e+08,3.23365e+08
