n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,93750,296145,0,0,0,0,1.0002e+06
65,1.54849e+06,497264,985500,999975,1.99705e+06,1.99902e+06,2.0034e+06
97,4.75053e+06,622135,3.9987e+06,3.99938e+06,4.99895e+06,4.99968e+06,6.0001e+06
129,1.112e+07,1.9272e+06,8.9772e+06,9.01002e+06,1.10007e+07,1.20343e+07,1.5733e+07
161,1.99481e+07,2.09278e+06,1.70004e+07,1.8001e+07,2.00006e+07,2.1002e+07,2.5004e+07
193,3.5286e+07,4.59978e+06,3.00016e+07,3.20059e+07,3.40024e+07,3.70692e+07,5.00058e+07
225,5.4657e+07,5.88575e+06,4.80011e+07,5.10018e+07,5.25014e+07,5.70058e+07,7.30063e+07
