n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,250047,440024,0,0,0,249525,1.0019e+06
65,1.43728e+06,503231,998100,1.00072e+06,1.0017e+06,1.99815e+06,2.0081e+06
97,4.49828e+06,842025,3.9967e+06,3.99835e+06,3.99965e+06,4.99828e+06,7.9986e+06
129,1.04802e+07,1.46984e+06,8.981e+06,9.0018e+06,1.00024e+07,1.19983e+07,1.39988e+07
161,2.01298e+07,2.44009e+06,1.70006e+07,1.80011e+07,1.95008e+07,2.10011e+07,2.70031e+07
193,3.43607e+07,3.78414e+06,2.90018e+07,3.20107e+07,3.30022e+07,3.70056e+07,4.40047e+07
225,5.86762e+07,7.59232e+06,5.00021e+07,5.40218e+07,5.68966e+07,6.03312e+07,8.40055e+07
