n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,281281,456854,0,0,0,999200,1.0012e+06
65,1.49965e+06,671969,996900,999725,1.0009e+06,1.99802e+06,3.9996e+06
97,4.81198e+06,998126,3.998e+06,3.99952e+06,4.99825e+06,4.99962e+06,8.9982e+06
129,1.10603e+07,1.52213e+06,8.9978e+06,9.99815e+06,1.10013e+07,1.20022e+07,1.50023e+07
161,2.04806e+07,1.92785e+06,1.70046e+07,1.90021e+07,2.04936e+07,2.1021e+07,2.501e+07
193,3.6713e+07,5.49813e+06,2.90097e+07,3.27531e+07,3.50235e+07,3.88044e+07,5.4018e+07
225,5.87795e+07,7.49541e+06,4.80025e+07,5.40051e+07,5.80612e+07,6.1345e+07,8.55183e+07
