n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0,0,0,0,0,0,0
33,218812,420133,0,0,0,0,1.0007e+06
65,1.47655e+06,517706,997200,1.00008e+06,1.001e+06,1.99865e+06,2.2686e+06
97,4.60725e+06,650469,3.9791e+06,3.99988e+06,4.4643e+06,4.99985e+06,6.0016e+06
129,1.13214e+07,2.78877e+06,7.9991e+06,9.99925e+06,1.05071e+07,1.2233e+07,2.40008e+07
161,2.55676e+07,8.37739e+06,1.69994e+07,2.10018e+07,2.30034e+07,2.95022e+07,5.89399e+07
193,3.56216e+07,5.10695e+06,2.8912e+07,3.2993e+07,3.40488e+07,3.70032e+07,5.00042e+07
225,5.53209e+07,4.63574e+06,4.7046e+07,5.18085e+07,5.398e+07,5.93225e+07,6.50119e+07
